"","n","hypothesis","normality","p","mean","BF","Shapiro"
"763",15,"Ha",TRUE,0.038162580112149,5.74627561499543,1.89643179964514,0.196772517771949
"764",40,"Ha",TRUE,0.0226899401836533,3.82867060068414,2.04180556419063,0.187405654530844
"765",150,"Ha",TRUE,5.87433444613531e-08,4.55730006713827,180764.604195802,0.566537309374991
"766",15,"Ha",FALSE,0.0120317126508981,7.46821094032668,4.78608554134316,0.131824937322883
"767",40,"Ha",FALSE,0.0022928058112322,5.18265915114213,14.6442404815964,0.043147044281434
"768",150,"Ha",FALSE,1.90921413586463e-06,3.7704645257465,6547.1687771663,1.16772209903552e-06
"769",15,"H0",TRUE,0.114222024278615,-4.11450428004239,0.826891736296322,0.618606751771023
"770",40,"H0",TRUE,0.506026245090757,1.22657409529711,0.210663718307296,0.450558170969045
"771",150,"H0",TRUE,0.406797075361578,0.686349148071485,0.127633038474037,0.499119376137985
"772",15,"H0",FALSE,0.134293719461105,-4.1174106698502,0.736125260192853,0.120705233484455
"773",40,"H0",FALSE,0.925773122045785,0.146647657699287,0.171285637712785,0.0527141115364921
"774",150,"H0",FALSE,0.21295346269708,1.13776640148645,0.195235058620158,4.17288626812573e-08
"775",15,"Ha",TRUE,0.413950254354826,1.67258440819906,0.356667870052816,0.550420916891287
"776",40,"Ha",TRUE,0.144816584307156,2.18383366528915,0.470822259991692,0.175984693760825
"777",150,"Ha",TRUE,2.8636338978552e-08,4.57332084904132,359758.930518988,0.980319698813905
"778",15,"Ha",FALSE,0.00740247396101542,8.53287345371245,7.13880432587273,0.00205104354602634
"779",40,"Ha",FALSE,0.0274931494156065,3.45000035318878,1.74118447759512,0.00121201441411109
"780",150,"Ha",FALSE,2.54431600788012e-08,4.84445940102261,402936.035361792,1.01931493908083e-07
"781",15,"H0",TRUE,0.324218664325176,1.83995676310178,0.410296474773195,0.0730499196341911
"782",40,"H0",TRUE,0.745601212031331,-0.465519039521516,0.17936465705385,0.761902404014715
"783",150,"H0",TRUE,0.88214898881755,-0.119472012541527,0.0919390236671848,0.93891996932799
"784",15,"H0",FALSE,0.870057557362314,0.351239266990917,0.265601563545753,0.08012730585371
"785",40,"H0",FALSE,0.565679117743134,0.943140952931219,0.199668292923508,0.0794171738678276
"786",150,"H0",FALSE,0.550321173591649,0.488141724306931,0.108415122237494,4.26237554893857e-08
"787",15,"Ha",TRUE,0.0670683671701235,6.32353002505463,1.22763990707389,0.342993807165203
"788",40,"Ha",TRUE,0.0399924335321862,3.71132580643368,1.28078317930375,0.435321687480817
"789",150,"Ha",TRUE,1.38165587843398e-05,3.64502714674535,1008.59542411789,0.237306431125897
"790",15,"Ha",FALSE,0.0146634477337193,7.49308323680854,4.07311989353269,0.0459468392847509
"791",40,"Ha",FALSE,0.0483955979815428,2.84790422233323,1.09783932217807,0.00691944477004112
"792",150,"Ha",FALSE,0.000138407355310603,3.50329943647853,116.76568191933,1.08399193584251e-08
"793",15,"H0",TRUE,0.949786185843763,0.134128036157698,0.262830040622529,0.776326436480187
"794",40,"H0",TRUE,0.721647988483567,0.44230228582934,0.18122775678611,0.925368403980544
"795",150,"H0",TRUE,0.450918908986036,-0.653397777503806,0.120321185925971,0.510212310920713
"796",15,"H0",FALSE,0.531786829505392,1.93648801663647,0.31406446957922,0.536576683366811
"797",40,"H0",FALSE,0.523736963530691,-0.853622207694101,0.207099697050508,0.0043613019099687
"798",150,"H0",FALSE,0.241989518378938,0.920401296791494,0.178473456129735,2.32470428286702e-07
"799",15,"Ha",TRUE,0.0289310957047049,5.6391178188127,2.35916423243047,0.24652030394471
"800",40,"Ha",TRUE,0.000540354650898182,5.58837445877856,52.9211356413054,0.517268022986681
"801",150,"Ha",TRUE,5.4493942269129e-05,3.36811587260078,278.370336892957,0.922162796956825
"802",15,"Ha",FALSE,0.00314902245626444,6.91929549212526,14.5853335522685,0.0011970922944237
"803",40,"Ha",FALSE,0.0601254331370731,3.09025445731375,0.923105806592497,0.0022038317756136
"804",150,"Ha",FALSE,2.93277941384442e-05,3.50391686770354,497.240975648181,1.2287960614308e-07
"805",15,"H0",TRUE,0.353470195266006,-2.54529752239848,0.389886472789967,0.0932471375139483
"806",40,"H0",TRUE,0.889321636611875,-0.232695973961578,0.172161303412976,0.335398062634191
"807",150,"H0",TRUE,0.477530052592439,-0.562185081443726,0.116597371814823,0.212010931766927
"808",15,"H0",FALSE,0.882013642000162,0.485787290452489,0.265023747090484,0.234852988109449
"809",40,"H0",FALSE,0.216968657696347,-2.37195605358083,0.353174344424094,0.00794131252116132
"810",150,"H0",FALSE,0.616468542911286,0.404924571893301,0.102907497174431,1.09961817071965e-07
"811",15,"Ha",TRUE,0.245635627674265,3.45456475391623,0.487814300291275,0.0776578654862942
"812",40,"Ha",TRUE,0.246927916313361,2.04119012518125,0.323502359871312,0.623678981470941
"813",150,"Ha",TRUE,1.20855201135274e-06,4.05895559269581,10105.3278506276,0.819695703399033
"814",15,"Ha",FALSE,0.0583848189933574,4.83452471518658,1.36434702755606,0.277080762810641
"815",40,"Ha",FALSE,0.122549223048273,2.47270148206991,0.532723535936064,0.00344999125758933
"816",150,"Ha",FALSE,1.79405767619787e-09,4.68922616104262,5153042.77804056,2.93695644973006e-07
"817",15,"H0",TRUE,0.128286648609383,4.17422049824541,0.760560801228332,0.0962756251147124
"818",40,"H0",TRUE,0.179890792597549,-2.0695951743917,0.402613337728495,0.522981332854876
"819",150,"H0",TRUE,0.940354531687636,0.0619028299799194,0.0912005579745341,0.236924074912797
"820",15,"H0",FALSE,0.0129584871803701,-6.17192690671716,4.50456983941332,0.0642128758402193
"821",40,"H0",FALSE,0.293685451981,1.8190952426288,0.288748747761806,0.0681523575618394
"822",150,"H0",FALSE,0.755480262021548,0.264525623466354,0.0953981314208103,5.61960133943958e-05
"823",15,"Ha",TRUE,0.34076260143035,2.69902763833557,0.39833669082517,0.456481940861891
"824",40,"Ha",TRUE,8.63476832793916e-05,6.54767348518034,277.937514127313,0.00702245323105547
"825",150,"Ha",TRUE,0.00118860493341248,2.75732386202064,16.1182180271816,0.71467550151579
